shirt_number,position,name,date_of_birth,age,nationality,club_name,league_name
31,Keeper,Ederson,1993-08-17,24,Brazil,Man City,Premier League
1,Keeper,Claudio Bravo,1983-04-13,34,Chile,Man City,Premier League
5,Centre-Back,John Stones,1994-05-28,23,England,Man City,Premier League
30,Centre-Back,Nicolás Otamendi,1988-02-12,29,Argentina,Man City,Premier League
15,Centre-Back,Eliaquim Mangala,1991-02-13,26,France,Man City,Premier League
4,Centre-Back,Vincent Kompany,1986-04-10,31,Belgium,Man City,Premier League
22,Left-Back,Benjamin Mendy,1994-07-17,23,France,Man City,Premier League
2,Right-Back,Kyle Walker,1990-05-28,27,England,Man City,Premier League
3,Right-Back,Danilo,1991-07-15,26,Brazil,Man City,Premier League
25,Defensive Midfield,Fernandinho,1985-05-04,32,Brazil,Man City,Premier League
8,Central Midfield,Ilkay Gündogan,1990-10-24,27,Germany,Man City,Premier League
18,Central Midfield,Fabian Delph,1989-11-21,28,England,Man City,Premier League
42,Central Midfield,Yaya Touré,1983-05-13,34,Cote d'Ivoire,Man City,Premier League
17,Attacking Midfield,Kevin De Bruyne,1991-06-28,26,Belgium,Man City,Premier League
21,Attacking Midfield,David Silva,1986-01-08,32,Spain,Man City,Premier League
35,Attacking Midfield,Oleksandr Zinchenko,1996-12-15,21,Ukraine,Man City,Premier League
19,Left Wing,Leroy Sané,1996-01-11,21,Germany,Man City,Premier League
7,Right Wing,Raheem Sterling,1994-12-08,23,England,Man City,Premier League
20,Right Wing,Bernardo Silva,1994-08-10,23,Portugal,Man City,Premier League
10,Centre-Forward,Sergio Agüero,1988-06-02,29,Argentina,Man City,Premier League
33,Centre-Forward,Gabriel Jesus,1997-04-03,20,Brazil,Man City,Premier League
13,Keeper,Thibaut Courtois,1992-05-11,25,Belgium,Chelsea,Premier League
1,Keeper,Willy Caballero,1981-09-28,36,Argentina,Chelsea,Premier League
37,Keeper,Eduardo,1982-09-19,35,Portugal,Chelsea,Premier League
