shirt_number,position,name,date_of_birth,age,nationality,club_name,league_name,season
31,Goalkeeper,Ederson,1993-08-17,25,Brazil,Man City,Premier League,18/19
1,Goalkeeper,Claudio Bravo,1983-04-13,35,Chile,Man City,Premier League,18/19
49,Goalkeeper,Arijanet Muric,1998-11-07,20,Kosovo,Man City,Premier League,18/19
5,Centre-Back,John Stones,1994-05-28,24,England,Man City,Premier League,18/19
14,Centre-Back,Aymeric Laporte,1994-05-27,24,France,Man City,Premier League,18/19
30,Centre-Back,Nicolás Otamendi,1988-02-12,30,Argentina,Man City,Premier League,18/19
4,Centre-Back,Vincent Kompany,1986-04-10,32,Belgium,Man City,Premier League,18/19
15,Centre-Back,Eliaquim Mangala,1991-02-13,27,France,Man City,Premier League,18/19
34,Centre-Back,Philippe Sandler,1997-02-10,21,Netherlands,Man City,Premier League,18/19
22,Left-Back,Benjamin Mendy,1994-07-17,24,France,Man City,Premier League,18/19
35,Left-Back,Oleksandr Zinchenko,1996-12-15,22,Ukraine,Man City,Premier League,18/19
2,Right-Back,Kyle Walker,1990-05-28,28,England,Man City,Premier League,18/19
3,Right-Back,Danilo,1991-07-15,27,Brazil,Man City,Premier League,18/19
25,Defensive Midfield,Fernandinho,1985-05-04,33,Brazil,Man City,Premier League,18/19
8,Central Midfield,Ilkay Gündogan,1990-10-24,28,Germany,Man City,Premier League,18/19
47,Central Midfield,Phil Foden,2000-05-28,18,England,Man City,Premier League,18/19
18,Central Midfield,Fabian Delph,1989-11-21,29,England,Man City,Premier League,18/19
17,Attacking Midfield,Kevin De Bruyne,1991-06-28,27,Belgium,Man City,Premier League,18/19
21,Attacking Midfield,David Silva,1986-01-08,32,Spain,Man City,Premier League,18/19
55,Attacking Midfield,Brahim Díaz,1999-08-03,19,Spain,Man City,Premier League,18/19
19,Left Winger,Leroy Sané,1996-01-11,22,Germany,Man City,Premier League,18/19
NA,Left Winger,Marlos Moreno,1996-09-20,22,Colombia,Man City,Premier League,18/19
7,Right Winger,Raheem Sterling,1994-12-08,24,England,Man City,Premier League,18/19
20,Right Winger,Bernardo Silva,1994-08-10,24,Portugal,Man City,Premier League,18/19
26,Right Winger,Riyad Mahrez,1991-02-21,27,Algeria,Man City,Premier League,18/19
10,Centre-Forward,Sergio Agüero,1988-06-02,30,Argentina,Man City,Premier League,18/19
33,Centre-Forward,Gabriel Jesus,1997-04-03,21,Brazil,Man City,Premier League,18/19
13,Goalkeeper,Alisson,1992-10-02,26,Brazil,Liverpool,Premier League,18/19
22,Goalkeeper,Simon Mignolet,1988-03-06,30,Belgium,Liverpool,Premier League,18/19
4,Centre-Back,Virgil van Dijk,1991-07-08,27,Netherlands,Liverpool,Premier League,18/19
12,Centre-Back,Joe Gomez,1997-05-23,21,England,Liverpool,Premier League,18/19
6,Centre-Back,Dejan Lovren,1989-07-05,29,Croatia,Liverpool,Premier League,18/19
32,Centre-Back,Joel Matip,1991-08-08,27,Cameroon,Liverpool,Premier League,18/19
26,Left-Back,Andrew Robertson,1994-03-11,24,Scotland,Liverpool,Premier League,18/19
18,Left-Back,Alberto Moreno,1992-07-05,26,Spain,Liverpool,Premier League,18/19
66,Right-Back,Trent Alexander-Arnold,1998-10-07,20,England,Liverpool,Premier League,18/19
2,Right-Back,Nathaniel Clyne,1991-04-05,27,England,Liverpool,Premier League,18/19
NA,Right-Back,Connor Randall,1995-10-21,23,England,Liverpool,Premier League,18/19
3,Defensive Midfield,Fabinho,1993-10-23,25,Brazil,Liverpool,Premier League,18/19
8,Central Midfield,Naby Keïta,1995-02-10,23,Guinea,Liverpool,Premier League,18/19
5,Central Midfield,Georginio Wijnaldum,1990-11-11,28,Netherlands,Liverpool,Premier League,18/19
14,Central Midfield,Jordan Henderson,1990-06-17,28,England,Liverpool,Premier League,18/19
7,Central Midfield,James Milner,1986-01-04,32,England,Liverpool,Premier League,18/19
21,Right Midfield,Alex Oxlade-Chamberlain,1993-08-15,25,England,Liverpool,Premier League,18/19
20,Attacking Midfield,Adam Lallana,1988-05-10,30,England,Liverpool,Premier League,18/19
10,Left Winger,Sadio Mané,1992-04-10,26,Senegal,Liverpool,Premier League,18/19
11,Right Winger,Mohamed Salah,1992-06-15,26,Egypt,Liverpool,Premier League,18/19
23,Right Winger,Xherdan Shaqiri,1991-10-10,27,Switzerland,Liverpool,Premier League,18/19
50,Right Winger,Lazar Markovic,1994-03-02,24,Serbia,Liverpool,Premier League,18/19
9,Second Striker,Roberto Firmino,1991-10-02,27,Brazil,Liverpool,Premier League,18/19
15,Centre-Forward,Daniel Sturridge,1989-09-01,29,England,Liverpool,Premier League,18/19
27,Centre-Forward,Divock Origi,1995-04-18,23,Belgium,Liverpool,Premier League,18/19
29,Centre-Forward,Dominic Solanke,1997-09-14,21,England,Liverpool,Premier League,18/19
1,Goalkeeper,Kepa,1994-10-03,24,Spain,Chelsea,Premier League,18/19
13,Goalkeeper,Willy Caballero,1981-09-28,37,Argentina,Chelsea,Premier League,18/19
NA,Goalkeeper,Jamal Blackman,1993-10-27,25,England,Chelsea,Premier League,18/19
31,Goalkeeper,Robert Green,1980-01-18,38,England,Chelsea,Premier League,18/19
2,Centre-Back,Antonio Rüdiger,1993-03-03,25,Germany,Chelsea,Premier League,18/19
27,Centre-Back,Andreas Christensen,1996-04-10,22,Denmark,Chelsea,Premier League,18/19
30,Centre-Back,David Luiz,1987-04-22,31,Brazil,Chelsea,Premier League,18/19
24,Centre-Back,Gary Cahill,1985-12-19,33,England,Chelsea,Premier League,18/19
44,Centre-Back,Ethan Ampadu,2000-09-14,18,Wales,Chelsea,Premier League,18/19
3,Left-Back,Marcos Alonso,1990-12-28,28,Spain,Chelsea,Premier League,18/19
33,Left-Back,Emerson,1994-08-03,24,Italy,Chelsea,Premier League,18/19
28,Right-Back,César Azpilicueta,1989-08-28,29,Spain,Chelsea,Premier League,18/19
