player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Víctor Valdés,Goalkeeper,1982-01-14,24,Spain,FC Barcelona,LaLiga,2006/2007,2006
Albert Jorquera,Goalkeeper,1979-03-03,27,Spain,FC Barcelona,LaLiga,2006/2007,2006
Rubén Martínez,Goalkeeper,1984-06-22,22,Spain,FC Barcelona,LaLiga,2006/2007,2006
Carles Puyol,Centre-Back,1978-04-13,28,Spain,FC Barcelona,LaLiga,2006/2007,2006
Rafael Márquez,Centre-Back,1979-02-13,27,Mexico,FC Barcelona,LaLiga,2006/2007,2006
Oleguer,Centre-Back,1980-02-02,26,Spain,FC Barcelona,LaLiga,2006/2007,2006
Lilian Thuram,Centre-Back,1972-01-01,34,France,FC Barcelona,LaLiga,2006/2007,2006
Jesús Olmo,Centre-Back,1985-01-24,21,Spain,FC Barcelona,LaLiga,2006/2007,2006
Marc Valiente,Centre-Back,1987-03-29,19,Spain,FC Barcelona,LaLiga,2006/2007,2006
Giovanni van Bronckhorst,Left-Back,1975-02-05,31,Netherlands,FC Barcelona,LaLiga,2006/2007,2006
Sylvinho,Left-Back,1974-04-12,32,Brazil,FC Barcelona,LaLiga,2006/2007,2006
Gianluca Zambrotta,Right-Back,1977-02-19,29,Italy,FC Barcelona,LaLiga,2006/2007,2006
Juliano Belletti,Right-Back,1976-06-20,30,Brazil,FC Barcelona,LaLiga,2006/2007,2006
Mark van Bommel,Defensive Midfield,1977-04-22,29,Netherlands,FC Barcelona,LaLiga,2006/2007,2006
Thiago Motta,Defensive Midfield,1982-08-28,23,Italy,FC Barcelona,LaLiga,2006/2007,2006
Edmílson,Defensive Midfield,1976-07-10,29,Brazil,FC Barcelona,LaLiga,2006/2007,2006
Marc Crosas,Defensive Midfield,1988-01-09,18,Spain,FC Barcelona,LaLiga,2006/2007,2006
Xavi,Central Midfield,1980-01-25,26,Spain,FC Barcelona,LaLiga,2006/2007,2006
Andrés Iniesta,Central Midfield,1984-05-11,22,Spain,FC Barcelona,LaLiga,2006/2007,2006
Jordi Gómez,Central Midfield,1985-05-24,21,Spain,FC Barcelona,LaLiga,2006/2007,2006
Lluis Sastre,Central Midfield,1986-03-26,20,Spain,FC Barcelona,LaLiga,2006/2007,2006
Ronaldinho,Attacking Midfield,1980-03-21,26,Brazil,FC Barcelona,LaLiga,2006/2007,2006
Deco,Attacking Midfield,1977-08-27,28,Portugal,FC Barcelona,LaLiga,2006/2007,2006
Víctor Vázquez,Attacking Midfield,1987-01-20,19,Spain,FC Barcelona,LaLiga,2006/2007,2006
Lionel Messi,Right Winger,1987-06-24,19,Argentina,FC Barcelona,LaLiga,2006/2007,2006
Ludovic Giuly,Right Winger,1976-07-10,29,France,FC Barcelona,LaLiga,2006/2007,2006
