player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Henk Timmer,Goalkeeper,1971-12-03,36,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Sherif Ekramy,Goalkeeper,1983-07-10,24,Egypt,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Rob van Dijk,Goalkeeper,1969-01-15,39,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Darley,Goalkeeper,1989-12-15,18,Brazil,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Konstantinos Lamprou,Goalkeeper,1991-09-18,16,Greece,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Kevin Hofland,Centre-Back,1979-06-07,29,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
André Bahia,Centre-Back,1983-11-24,24,Brazil,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Ron Vlaar,Centre-Back,1985-02-16,23,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Timothy Derijck,Centre-Back,1987-05-25,21,Belgium,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Norichio Nieveld,Centre-Back,1989-04-24,19,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Giovanni van Bronckhorst,Left-Back,1975-02-05,33,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Tim de Cler,Left-Back,1978-11-08,29,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Dwight Tiendalli,Right-Back,1985-10-21,22,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Kelvin Leerdam,Right-Back,1990-06-24,18,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Theo Lucius,Defensive Midfield,1976-12-19,31,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Serginho Greene,Defensive Midfield,1982-06-24,26,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
David Manteiga,Defensive Midfield,1990-03-19,18,Brazil,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Glenn Kobussen,Defensive Midfield,1989-06-18,19,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Jonathan de Guzmán,Central Midfield,1987-09-13,20,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Denny Landzaat,Central Midfield,1976-05-06,32,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
Danny Buijs,Central Midfield,1982-06-21,26,Netherlands,Feyenoord Rotterdam,Eredivisie,2008/2009,2008
