player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Hugo Lloris,Goalkeeper,1986-12-26,21,France,Olympique Lyon,Ligue 1,2008/2009,2008
Rémy Vercoutre,Goalkeeper,1980-06-26,28,France,Olympique Lyon,Ligue 1,2008/2009,2008
Joan Hartock,Goalkeeper,1987-02-17,21,Martinique,Olympique Lyon,Ligue 1,2008/2009,2008
Anthony Lopes,Goalkeeper,1990-10-01,17,Portugal,Olympique Lyon,Ligue 1,2008/2009,2008
Cris,Centre-Back,1977-06-03,31,Brazil,Olympique Lyon,Ligue 1,2008/2009,2008
John Mensah,Centre-Back,1982-11-29,25,Ghana,Olympique Lyon,Ligue 1,2008/2009,2008
Jean-Alain Boumsong,Centre-Back,1979-12-14,28,France,Olympique Lyon,Ligue 1,2008/2009,2008
Timothée Kolodziejczak,Centre-Back,1991-10-01,16,France,Olympique Lyon,Ligue 1,2008/2009,2008
Nicolas Seguin,Centre-Back,1990-01-01,18,France,Olympique Lyon,Ligue 1,2008/2009,2008
Thomas Fontaine,Centre-Back,1991-05-08,17,Madagascar,Olympique Lyon,Ligue 1,2008/2009,2008
Fabio Grosso,Left-Back,1977-11-28,30,Italy,Olympique Lyon,Ligue 1,2008/2009,2008
François Clerc,Right-Back,1983-04-18,25,France,Olympique Lyon,Ligue 1,2008/2009,2008
Anthony Réveillère,Right-Back,1979-11-10,28,France,Olympique Lyon,Ligue 1,2008/2009,2008
Lamine Gassama,Right-Back,1989-10-20,18,Senegal,Olympique Lyon,Ligue 1,2008/2009,2008
Jérémy Pied,Right-Back,1989-02-23,19,France,Olympique Lyon,Ligue 1,2008/2009,2008
Sébastien Faure,Right-Back,1991-01-03,17,France,Olympique Lyon,Ligue 1,2008/2009,2008
Jérémy Toulalan,Defensive Midfield,1983-09-10,24,France,Olympique Lyon,Ligue 1,2008/2009,2008
Mathieu Bodmer,Defensive Midfield,1982-11-22,25,France,Olympique Lyon,Ligue 1,2008/2009,2008
Jean II Makoun,Defensive Midfield,1983-05-29,25,Cameroon,Olympique Lyon,Ligue 1,2008/2009,2008
Kim Källström,Defensive Midfield,1982-08-24,25,Sweden,Olympique Lyon,Ligue 1,2008/2009,2008
Miralem Pjanic,Defensive Midfield,1990-04-02,18,Bosnia-Herzegovina,Olympique Lyon,Ligue 1,2008/2009,2008
Fábio Santos,Defensive Midfield,1980-10-09,27,Brazil,Olympique Lyon,Ligue 1,2008/2009,2008
Saïd Mehamha,Defensive Midfield,1990-09-04,17,Algeria,Olympique Lyon,Ligue 1,2008/2009,2008
Pierrick Valdivia,Central Midfield,1988-04-18,20,France,Olympique Lyon,Ligue 1,2008/2009,2008
Clément Grenier,Central Midfield,1991-01-07,17,France,Olympique Lyon,Ligue 1,2008/2009,2008
Yannis Tafer,Right Midfield,1991-02-11,17,Algeria,Olympique Lyon,Ligue 1,2008/2009,2008
Juninho Pernambucano,Attacking Midfield,1975-01-30,33,Brazil,Olympique Lyon,Ligue 1,2008/2009,2008
Ederson,Attacking Midfield,1986-01-13,22,Brazil,Olympique Lyon,Ligue 1,2008/2009,2008
Anthony Mounier,Left Winger,1987-09-27,20,France,Olympique Lyon,Ligue 1,2008/2009,2008
Abdul Kader Keita,Right Winger,1981-08-06,26,Cote d'Ivoire,Olympique Lyon,Ligue 1,2008/2009,2008
Sidney Govou,Right Winger,1979-07-27,28,France,Olympique Lyon,Ligue 1,2008/2009,2008
César Delgado,Right Winger,1981-08-18,26,Argentina,Olympique Lyon,Ligue 1,2008/2009,2008
Karim Benzema,Centre-Forward,1987-12-19,20,France,Olympique Lyon,Ligue 1,2008/2009,2008
Fred,Centre-Forward,1983-10-03,24,Brazil,Olympique Lyon,Ligue 1,2008/2009,2008
Frédéric Piquionne,Centre-Forward,1978-12-08,29,Martinique,Olympique Lyon,Ligue 1,2008/2009,2008
Milan Baros,Centre-Forward,1981-10-28,26,Czech Republic,Olympique Lyon,Ligue 1,2008/2009,2008
Alexandre Lacazette,Centre-Forward,1991-05-28,17,France,Olympique Lyon,Ligue 1,2008/2009,2008
Steve Mandanda,Goalkeeper,1985-03-28,23,France,Olympique Marseille,Ligue 1,2008/2009,2008
Rudy Riou,Goalkeeper,1980-01-22,28,France,Olympique Marseille,Ligue 1,2008/2009,2008
Hilaire Muñoz,Goalkeeper,1983-04-21,25,France,Olympique Marseille,Ligue 1,2008/2009,2008
Dmitri Nepogodov,Goalkeeper,1988-02-17,20,Kazakhstan,Olympique Marseille,Ligue 1,2008/2009,2008
Lorik Cana,Centre-Back,1983-07-27,24,Albania,Olympique Marseille,Ligue 1,2008/2009,2008
Gaël Givet,Centre-Back,1981-10-09,26,France,Olympique Marseille,Ligue 1,2008/2009,2008
Julien Rodriguez,Centre-Back,1978-06-11,30,France,Olympique Marseille,Ligue 1,2008/2009,2008
Hilton,Centre-Back,1977-09-13,30,Brazil,Olympique Marseille,Ligue 1,2008/2009,2008
Ronald Zubar,Centre-Back,1985-09-20,22,Guadeloupe,Olympique Marseille,Ligue 1,2008/2009,2008
Renato Civelli,Centre-Back,1983-10-14,24,Argentina,Olympique Marseille,Ligue 1,2008/2009,2008
Elamine Erbate,Centre-Back,1981-07-01,27,Morocco,Olympique Marseille,Ligue 1,2008/2009,2008
Taye Taiwo,Left-Back,1985-04-16,23,Nigeria,Olympique Marseille,Ligue 1,2008/2009,2008
Laurent Bonnart,Left-Back,1979-12-25,28,France,Olympique Marseille,Ligue 1,2008/2009,2008
Tyrone Mears,Right-Back,1983-02-18,25,England,Olympique Marseille,Ligue 1,2008/2009,2008
Benoît Cheyrou,Defensive Midfield,1981-05-03,27,France,Olympique Marseille,Ligue 1,2008/2009,2008
