player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Vyacheslav Malafeev,Goalkeeper,1979-03-04,29,Russia,Zenit St. Petersburg,Premier Liga,2008/2009,2008
Kamil Contofalsky,Goalkeeper,1978-06-03,30,Slovakia,Zenit St. Petersburg,Premier Liga,2008/2009,2008
Dmitri Borodin,Goalkeeper,1977-10-08,30,Russia,Zenit St. Petersburg,Premier Liga,2008/2009,2008
Nikolay Zabolotnyi,Goalkeeper,1990-04-16,18,Russia,Zenit St. Petersburg,Premier Liga,2008/2009,2008
Vladimir Mukhin,Goalkeeper,1990-10-30,17,Russia,Zenit St. Petersburg,Premier Liga,2008/2009,2008
Andrey Zajtsev,Goalkeeper,1991-01-14,17,Russia,Zenit St. Petersburg,Premier Liga,2008/2009,2008
Fernando Meira,Centre-Back,1978-06-05,30,Portugal,Zenit St. Petersburg,Premier Liga,2008/2009,2008
Sébastien Puygrenier,Centre-Back,1982-01-28,26,France,Zenit St. Petersburg,Premier Liga,2008/2009,2008
Nicolas Lombaerts,Centre-Back,1985-03-20,23,Belgium,Zenit St. Petersburg,Premier Liga,2008/2009,2008
Ivica Krizanac,Centre-Back,1979-04-13,29,Croatia,Zenit St. Petersburg,Premier Liga,2008/2009,2008
Tomas Hubocan,Centre-Back,1985-09-17,22,Slovakia,Zenit St. Petersburg,Premier Liga,2008/2009,2008
Basel Abdoulfattakh,Centre-Back,1990-03-06,18,Russia,Zenit St. Petersburg,Premier Liga,2008/2009,2008
Radek Sirl,Left-Back,1981-03-20,27,Czech Republic,Zenit St. Petersburg,Premier Liga,2008/2009,2008
Dong-jin Kim,Left-Back,1982-01-29,26,"Korea, South",Zenit St. Petersburg,Premier Liga,2008/2009,2008
Aleksandr Khokhlov,Left-Back,1988-09-30,19,Russia,Zenit St. Petersburg,Premier Liga,2008/2009,2008
Aleksandr Anyukov,Right-Back,1982-09-28,25,Russia,Zenit St. Petersburg,Premier Liga,2008/2009,2008
