player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Hans Jörg Butt,Goalkeeper,1974-05-28,36,Germany,Bayern Munich,Bundesliga,2010/2011,2010
Rouven Sattelmaier,Goalkeeper,1987-08-07,22,Germany,Bayern Munich,Bundesliga,2010/2011,2010
Thomas Kraft,Goalkeeper,1988-07-22,21,Germany,Bayern Munich,Bundesliga,2010/2011,2010
Maximilian Riedmüller,Goalkeeper,1988-01-04,22,Germany,Bayern Munich,Bundesliga,2010/2011,2010
Martín Demichelis,Centre-Back,1980-12-20,29,Argentina,Bayern Munich,Bundesliga,2010/2011,2010
Holger Badstuber,Centre-Back,1989-03-13,21,Germany,Bayern Munich,Bundesliga,2010/2011,2010
Daniel Van Buyten,Centre-Back,1978-02-07,32,Belgium,Bayern Munich,Bundesliga,2010/2011,2010
Breno,Centre-Back,1989-10-13,20,Brazil,Bayern Munich,Bundesliga,2010/2011,2010
Danijel Pranjic,Left-Back,1981-12-02,28,Croatia,Bayern Munich,Bundesliga,2010/2011,2010
Edson Braafheid,Left-Back,1983-04-08,27,Netherlands,Bayern Munich,Bundesliga,2010/2011,2010
Diego Contento,Left-Back,1990-05-01,20,Germany,Bayern Munich,Bundesliga,2010/2011,2010
David Alaba,Left-Back,1992-06-24,18,Austria,Bayern Munich,Bundesliga,2010/2011,2010
Philipp Lahm,Right-Back,1983-11-11,26,Germany,Bayern Munich,Bundesliga,2010/2011,2010
Anatoliy Tymoshchuk,Defensive Midfield,1979-03-30,31,Ukraine,Bayern Munich,Bundesliga,2010/2011,2010
Mark van Bommel,Defensive Midfield,1977-04-22,33,Netherlands,Bayern Munich,Bundesliga,2010/2011,2010
Luiz Gustavo,Defensive Midfield,1987-07-23,22,Brazil,Bayern Munich,Bundesliga,2010/2011,2010
Andreas Ottl,Defensive Midfield,1985-03-01,25,Germany,Bayern Munich,Bundesliga,2010/2011,2010
Nicolas Jüllich,Defensive Midfield,1990-03-27,20,Germany,Bayern Munich,Bundesliga,2010/2011,2010
Bastian Schweinsteiger,Central Midfield,1984-08-01,25,Germany,Bayern Munich,Bundesliga,2010/2011,2010
Toni Kroos,Central Midfield,1990-01-04,20,Germany,Bayern Munich,Bundesliga,2010/2011,2010
José Sosa,Central Midfield,1985-06-19,25,Argentina,Bayern Munich,Bundesliga,2010/2011,2010
Hamit Altintop,Right Midfield,1982-12-08,27,Turkey,Bayern Munich,Bundesliga,2010/2011,2010
Boy Deul,Attacking Midfield,1987-08-30,22,Curacao,Bayern Munich,Bundesliga,2010/2011,2010
Christoph Knasmüllner,Attacking Midfield,1992-04-30,18,Austria,Bayern Munich,Bundesliga,2010/2011,2010
Franck Ribéry,Left Winger,1983-04-07,27,France,Bayern Munich,Bundesliga,2010/2011,2010
Nicola Sansone,Left Winger,1991-09-10,18,Italy,Bayern Munich,Bundesliga,2010/2011,2010
Arjen Robben,Right Winger,1984-01-23,26,Netherlands,Bayern Munich,Bundesliga,2010/2011,2010
Thomas Müller,Second Striker,1989-09-13,20,Germany,Bayern Munich,Bundesliga,2010/2011,2010
