player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Chris Kirkland,Goalkeeper,1981-05-02,29,England,Leicester City,Championship,2010/2011,2010
Chris Weale,Goalkeeper,1982-02-09,28,England,Leicester City,Championship,2010/2011,2010
Carl Ikeme,Goalkeeper,1986-06-08,24,Nigeria,Leicester City,Championship,2010/2011,2010
Ricardo,Goalkeeper,1976-02-11,34,Portugal,Leicester City,Championship,2010/2011,2010
Conrad Logan,Goalkeeper,1986-04-18,24,Ireland,Leicester City,Championship,2010/2011,2010
Adam Smith,Goalkeeper,1992-11-23,17,England,Leicester City,Championship,2010/2011,2010
Róbert Ambrusics,Goalkeeper,1992-01-22,18,Hungary,Leicester City,Championship,2010/2011,2010
Curtis Davies,Centre-Back,1985-03-15,25,England,Leicester City,Championship,2010/2011,2010
Sol Bamba,Centre-Back,1985-01-13,25,Cote d'Ivoire,Leicester City,Championship,2010/2011,2010
Miguel Vítor,Centre-Back,1989-06-30,21,Portugal,Leicester City,Championship,2010/2011,2010
Jack Hobbs,Centre-Back,1988-08-18,21,England,Leicester City,Championship,2010/2011,2010
Moreno,Centre-Back,1981-08-19,28,Portugal,Leicester City,Championship,2010/2011,2010
Aleksandar Tunchev,Centre-Back,1981-07-10,28,Bulgaria,Leicester City,Championship,2010/2011,2010
Michael Morrison,Centre-Back,1988-03-03,22,England,Leicester City,Championship,2010/2011,2010
Jeffrey Bruma,Centre-Back,1991-11-13,18,Netherlands,Leicester City,Championship,2010/2011,2010
Ben Mee,Centre-Back,1989-09-21,20,England,Leicester City,Championship,2010/2011,2010
Tom Parkes,Centre-Back,1992-01-15,18,England,Leicester City,Championship,2010/2011,2010
Cian Bolger,Centre-Back,1992-03-12,18,Ireland,Leicester City,Championship,2010/2011,2010
Liam Moore,Centre-Back,1993-01-31,17,England,Leicester City,Championship,2010/2011,2010
Bruno Berner,Left-Back,1977-11-21,32,Switzerland,Leicester City,Championship,2010/2011,2010
Tom Kennedy,Left-Back,1985-06-24,25,England,Leicester City,Championship,2010/2011,2010
Patrick van Aanholt,Left-Back,1990-08-29,19,Netherlands,Leicester City,Championship,2010/2011,2010
Greg Cunningham,Left-Back,1991-01-31,19,Ireland,Leicester City,Championship,2010/2011,2010
Kyle Naughton,Right-Back,1988-11-11,21,England,Leicester City,Championship,2010/2011,2010
Robbie Neilson,Right-Back,1980-06-19,30,Scotland,Leicester City,Championship,2010/2011,2010
Michael Lamey,Right-Back,1979-11-29,30,Netherlands,Leicester City,Championship,2010/2011,2010
Luke O'Neill,Right-Back,1991-08-20,18,England,Leicester City,Championship,2010/2011,2010
Yuki Abe,Defensive Midfield,1981-09-06,28,Japan,Leicester City,Championship,2010/2011,2010
Matt Oakley,Defensive Midfield,1977-08-17,32,England,Leicester City,Championship,2010/2011,2010
Paul Gallagher,Central Midfield,1984-08-09,25,Scotland,Leicester City,Championship,2010/2011,2010
Andy King,Central Midfield,1988-10-29,21,Wales,Leicester City,Championship,2010/2011,2010
Richie Wellens,Central Midfield,1980-03-26,30,England,Leicester City,Championship,2010/2011,2010
Aman Verma,Central Midfield,1987-01-03,23,England,Leicester City,Championship,2010/2011,2010
Nicky Adams,Right Midfield,1986-10-16,23,Wales,Leicester City,Championship,2010/2011,2010
Lloyd Dyer,Left Midfield,1982-09-13,27,England,Leicester City,Championship,2010/2011,2010
Jeffrey Schlupp,Left Midfield,1992-12-23,17,Ghana,Leicester City,Championship,2010/2011,2010
Franck Moussa,Attacking Midfield,1989-07-24,20,Belgium,Leicester City,Championship,2010/2011,2010
Leon Crncic,Attacking Midfield,1990-03-02,20,Slovenia,Leicester City,Championship,2010/2011,2010
Jorrin John,Left Winger,1990-11-06,19,Antigua and Barbuda,Leicester City,Championship,2010/2011,2010
Diomansy Kamara,Right Winger,1980-11-08,29,Senegal,Leicester City,Championship,2010/2011,2010
Craig King,Right Winger,1990-10-16,19,Scotland,Leicester City,Championship,2010/2011,2010
Ashley Chambers,Right Winger,1990-03-01,20,England,Leicester City,Championship,2010/2011,2010
Yakubu Aiyegbeni,Centre-Forward,1982-11-22,27,Nigeria,Leicester City,Championship,2010/2011,2010
