shirt_number,position,player_name,date_of_birth,age,nationality,club_name,league_name,season,year
1,Goalkeeper,"Jan 14, 1982 (31)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
25,Goalkeeper,"Sep 14, 1989 (23)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
13,Goalkeeper,"Nov 8, 1975 (37)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
3,Centre-Back,"Feb 2, 1987 (26)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
15,Centre-Back,"Jan 15, 1991 (22)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
5,Centre-Back,"Apr 13, 1978 (35)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
26,Centre-Back,"Mar 28, 1992 (21)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
18,Left-Back,"Mar 21, 1989 (24)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
21,Left-Back,"Oct 26, 1984 (28)",NA,NA,Brazil,FC Barcelona,LaLiga,2013/2014,2013
22,Right-Back,"May 6, 1983 (30)",NA,NA,Brazil,FC Barcelona,LaLiga,2013/2014,2013
2,Right-Back,"Apr 14, 1991 (22)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
24,Right-Back,"Feb 7, 1992 (21)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
NA,Right-Back,"Apr 17, 1993 (20)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
16,Defensive Midfield,"Jul 16, 1988 (24)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
14,Defensive Midfield,"Jun 8, 1984 (29)",NA,NA,Argentina,FC Barcelona,LaLiga,2013/2014,2013
17,Defensive Midfield,"Sep 9, 1987 (25)",NA,NA,Cameroon,FC Barcelona,LaLiga,2013/2014,2013
8,Central Midfield,"May 11, 1984 (29)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
4,Central Midfield,"May 4, 1987 (26)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
6,Central Midfield,"Jan 25, 1980 (33)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
NA,Central Midfield,"Feb 12, 1993 (20)",NA,NA,Brazil,FC Barcelona,LaLiga,2013/2014,2013
12,Central Midfield,"Apr 26, 1990 (23)",NA,NA,Mexico,FC Barcelona,LaLiga,2013/2014,2013
23,Right Midfield,"Apr 27, 1991 (22)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
19,Left Midfield,"Apr 2, 1986 (27)",NA,NA,Netherlands,FC Barcelona,LaLiga,2013/2014,2013
11,Left Winger,"Feb 5, 1992 (21)",NA,NA,Brazil,FC Barcelona,LaLiga,2013/2014,2013
9,Left Winger,"Dec 19, 1988 (24)",NA,NA,Chile,FC Barcelona,LaLiga,2013/2014,2013
20,Left Winger,"Aug 11, 1991 (21)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
10,Right Winger,"Jun 24, 1987 (26)",NA,NA,Argentina,FC Barcelona,LaLiga,2013/2014,2013
7,Right Winger,"Jul 28, 1987 (25)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
NA,Right Winger,"Mar 13, 1994 (19)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
NA,Right Winger,"Jan 25, 1996 (17)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
NA,Second Striker,"Aug 28, 1990 (22)",NA,NA,Spain,FC Barcelona,LaLiga,2013/2014,2013
NA,Centre-Forward,"Apr 20, 1995 (18)",NA,NA,Cameroon,FC Barcelona,LaLiga,2013/2014,2013
NA,Centre-Forward,"Dec 3, 1988 (24)",NA,NA,Brazil,FC Barcelona,LaLiga,2013/2014,2013
1,Goalkeeper,"May 20, 1981 (32)",NA,NA,Spain,Real Madrid,LaLiga,2013/2014,2013
25,Goalkeeper,"Nov 3, 1981 (31)",NA,NA,Spain,Real Madrid,LaLiga,2013/2014,2013
13,Goalkeeper,"Jun 11, 1988 (25)",NA,NA,Spain,Real Madrid,LaLiga,2013/2014,2013
4,Centre-Back,"Mar 30, 1986 (27)",NA,NA,Spain,Real Madrid,LaLiga,2013/2014,2013
2,Centre-Back,"Apr 25, 1993 (20)",NA,NA,France,Real Madrid,LaLiga,2013/2014,2013
