shirt_number,position,player_name,date_of_birth,age,nationality,club_name,league_name,season,year
1,Goalkeeper,"Mar 27, 1986 (31)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
26,Goalkeeper,"Aug 3, 1988 (28)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
22,Goalkeeper,"Mar 18, 1981 (36)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
NA,Goalkeeper,"Jul 7, 1996 (20)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
NA,Goalkeeper,"Apr 4, 1999 (18)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
36,Goalkeeper,"Jan 28, 2000 (17)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
5,Centre-Back,"Dec 16, 1988 (28)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
17,Centre-Back,"Sep 3, 1988 (28)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
4,Centre-Back,"Sep 3, 1995 (21)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
15,Centre-Back,"Mar 31, 2000 (17)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
27,Left-Back,"Jun 24, 1992 (25)",NA,NA,Austria,Bayern Munich,Bundesliga,2017/2018,2017
14,Left-Back,"Mar 1, 1993 (24)",NA,NA,Spain,Bayern Munich,Bundesliga,2017/2018,2017
NA,Left-Back,"Mar 16, 1998 (19)",NA,NA,Austria,Bayern Munich,Bundesliga,2017/2018,2017
NA,Left-Back,"Nov 11, 1999 (17)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
32,Right-Back,"Feb 8, 1995 (22)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
13,Right-Back,"Sep 7, 1985 (31)",NA,NA,Brazil,Bayern Munich,Bundesliga,2017/2018,2017
8,Defensive Midfield,"Sep 2, 1988 (28)",NA,NA,Spain,Bayern Munich,Bundesliga,2017/2018,2017
19,Defensive Midfield,"Feb 28, 1990 (27)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
30,Defensive Midfield,"Jan 15, 1998 (19)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
20,Defensive Midfield,"Feb 11, 1998 (19)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
6,Central Midfield,"Apr 11, 1991 (26)",NA,NA,Spain,Bayern Munich,Bundesliga,2017/2018,2017
23,Central Midfield,"May 22, 1987 (30)",NA,NA,Chile,Bayern Munich,Bundesliga,2017/2018,2017
NA,Central Midfield,"Aug 18, 1997 (19)",NA,NA,Portugal,Bayern Munich,Bundesliga,2017/2018,2017
24,Central Midfield,"Aug 3, 1994 (22)",NA,NA,France,Bayern Munich,Bundesliga,2017/2018,2017
11,Attacking Midfield,"Jul 12, 1991 (25)",NA,NA,Colombia,Bayern Munich,Bundesliga,2017/2018,2017
40,Attacking Midfield,"Jun 5, 1998 (19)",NA,NA,Croatia,Bayern Munich,Bundesliga,2017/2018,2017
NA,Attacking Midfield,"Jan 4, 1999 (18)",NA,NA,Germany,Bayern Munich,Bundesliga,2017/2018,2017
