shirt_number,position,player_name,date_of_birth,age,nationality,club_name,league_name,season,year
1,Goalkeeper,"Apr 2, 1996 (21)",NA,NA,Cameroon,Ajax Amsterdam,Eredivisie,2017/2018,2017
22,Goalkeeper,"Apr 9, 1992 (25)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
12,Goalkeeper,"Sep 18, 1991 (25)",NA,NA,Greece,Ajax Amsterdam,Eredivisie,2017/2018,2017
30,Goalkeeper,"Dec 12, 1994 (22)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
NA,Centre-Back,"Jun 12, 1996 (21)",NA,NA,Colombia,Ajax Amsterdam,Eredivisie,2017/2018,2017
4,Centre-Back,"Aug 12, 1999 (17)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
26,Centre-Back,"Aug 3, 1989 (27)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
5,Centre-Back,"Feb 4, 1998 (19)",NA,NA,Austria,Ajax Amsterdam,Eredivisie,2017/2018,2017
NA,Centre-Back,"Jan 25, 1997 (20)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
31,Left-Back,"Aug 31, 1992 (24)",NA,NA,Argentina,Ajax Amsterdam,Eredivisie,2017/2018,2017
8,Left-Back,"Jul 4, 1995 (21)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
35,Left-Back,"Feb 9, 1993 (24)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
NA,Left-Back,"Jun 20, 2000 (17)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
3,Right-Back,"Jan 15, 1992 (25)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
43,Right-Back,"Jul 11, 1997 (19)",NA,NA,Denmark,Ajax Amsterdam,Eredivisie,2017/2018,2017
NA,Right-Back,"Mar 11, 1998 (19)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
28,Right-Back,"Aug 20, 1995 (21)",NA,NA,Colombia,Ajax Amsterdam,Eredivisie,2017/2018,2017
NA,Right-Back,"Aug 24, 1996 (20)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
40,Right-Back,"Nov 14, 1997 (19)",NA,NA,Morocco,Ajax Amsterdam,Eredivisie,2017/2018,2017
20,Defensive Midfield,"May 27, 1986 (31)",NA,NA,Denmark,Ajax Amsterdam,Eredivisie,2017/2018,2017
15,Defensive Midfield,"Feb 11, 1998 (19)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
NA,Defensive Midfield,"Apr 28, 1998 (19)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
34,Central Midfield,"Apr 2, 1997 (20)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
21,Central Midfield,"May 12, 1997 (20)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
NA,Central Midfield,"Jan 28, 1998 (19)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
47,Central Midfield,"Apr 5, 2000 (17)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
23,Attacking Midfield,"Jan 28, 1989 (28)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
6,Attacking Midfield,"Apr 18, 1997 (20)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
39,Attacking Midfield,"Jun 17, 1999 (18)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
NA,Left Winger,"Aug 6, 1993 (23)",NA,NA,Germany,Ajax Amsterdam,Eredivisie,2017/2018,2017
45,Left Winger,"May 5, 1999 (18)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
18,Left Winger,"Feb 17, 1998 (19)",NA,NA,Norway,Ajax Amsterdam,Eredivisie,2017/2018,2017
10,Right Winger,"Mar 19, 1993 (24)",NA,NA,Morocco,Ajax Amsterdam,Eredivisie,2017/2018,2017
7,Right Winger,"Mar 3, 1997 (20)",NA,NA,Brazil,Ajax Amsterdam,Eredivisie,2017/2018,2017
17,Right Winger,"Oct 17, 1997 (19)",NA,NA,Czech Republic,Ajax Amsterdam,Eredivisie,2017/2018,2017
25,Centre-Forward,"Oct 6, 1997 (19)",NA,NA,Denmark,Ajax Amsterdam,Eredivisie,2017/2018,2017
19,Centre-Forward,"Apr 13, 1997 (20)",NA,NA,Colombia,Ajax Amsterdam,Eredivisie,2017/2018,2017
9,Centre-Forward,"Aug 12, 1983 (33)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
NA,Centre-Forward,"Apr 27, 1998 (19)",NA,NA,Netherlands,Ajax Amsterdam,Eredivisie,2017/2018,2017
1,Goalkeeper,"Jan 6, 1991 (26)",NA,NA,Netherlands,PSV Eindhoven,Eredivisie,2017/2018,2017
13,Goalkeeper,"Feb 6, 1989 (28)",NA,NA,Curacao,PSV Eindhoven,Eredivisie,2017/2018,2017
