shirt_number,position,player_name,date_of_birth,age,nationality,club_name,league_name,season,year
1,Goalkeeper,"Feb 15, 1988 (29)",NA,NA,Portugal,Sporting CP,Liga NOS,2017/2018,2017
82,Goalkeeper,"Feb 13, 1997 (20)",NA,NA,Portugal,Sporting CP,Liga NOS,2017/2018,2017
18,Goalkeeper,"Jul 29, 1984 (32)",NA,NA,France,Sporting CP,Liga NOS,2017/2018,2017
30,Goalkeeper,"Oct 4, 1996 (20)",NA,NA,Portugal,Sporting CP,Liga NOS,2017/2018,2017
4,Centre-Back,"Oct 7, 1990 (26)",NA,NA,Uruguay,Sporting CP,Liga NOS,2017/2018,2017
6,Centre-Back,"Oct 5, 1989 (27)",NA,NA,Portugal,Sporting CP,Liga NOS,2017/2018,2017
22,Centre-Back,"Oct 29, 1983 (33)",NA,NA,France,Sporting CP,Liga NOS,2017/2018,2017
19,Centre-Back,"Jan 12, 1988 (29)",NA,NA,Netherlands,Sporting CP,Liga NOS,2017/2018,2017
55,Centre-Back,"Feb 2, 1994 (23)",NA,NA,Portugal,Sporting CP,Liga NOS,2017/2018,2017
64,Centre-Back,"Mar 26, 1996 (21)",NA,NA,Portugal,Sporting CP,Liga NOS,2017/2018,2017
41,Centre-Back,"Apr 15, 1997 (20)",NA,NA,Mali,Sporting CP,Liga NOS,2017/2018,2017
98,Centre-Back,"Mar 5, 1998 (19)",NA,NA,Turkey,Sporting CP,Liga NOS,2017/2018,2017
9,Left-Back,"Oct 28, 1991 (25)",NA,NA,Argentina,Sporting CP,Liga NOS,2017/2018,2017
5,Left-Back,"Mar 11, 1988 (29)",NA,NA,Portugal,Sporting CP,Liga NOS,2017/2018,2017
3,Left-Back,"Jun 29, 1994 (23)",NA,NA,Argentina,Sporting CP,Liga NOS,2017/2018,2017
15,Left-Back,"Aug 15, 1996 (20)",NA,NA,Ghana,Sporting CP,Liga NOS,2017/2018,2017
92,Right-Back,"Sep 26, 1992 (24)",NA,NA,Italy,Sporting CP,Liga NOS,2017/2018,2017
13,Right-Back,"Feb 12, 1992 (25)",NA,NA,North Macedonia,Sporting CP,Liga NOS,2017/2018,2017
14,Defensive Midfield,"Apr 7, 1992 (25)",NA,NA,Portugal,Sporting CP,Liga NOS,2017/2018,2017
66,Defensive Midfield,"Jul 9, 1995 (21)",NA,NA,Portugal,Sporting CP,Liga NOS,2017/2018,2017
