shirt_number,position,player_name,date_of_birth,age,nationality,club_name,league_name,season,year
1,Goalkeeper,"Jul 8, 1990 (26)",NA,NA,Germany,Paris Saint-Germain,Ligue 1,2017/2018,2017
16,Goalkeeper,"Feb 27, 1993 (24)",NA,NA,France,Paris Saint-Germain,Ligue 1,2017/2018,2017
NA,Goalkeeper,"Jun 25, 1996 (21)",NA,NA,France,Paris Saint-Germain,Ligue 1,2017/2018,2017
40,Goalkeeper,"Mar 2, 1998 (19)",NA,NA,France,Paris Saint-Germain,Ligue 1,2017/2018,2017
5,Centre-Back,"May 14, 1994 (23)",NA,NA,Brazil,Paris Saint-Germain,Ligue 1,2017/2018,2017
2,Centre-Back,"Sep 22, 1984 (32)",NA,NA,Brazil,Paris Saint-Germain,Ligue 1,2017/2018,2017
3,Centre-Back,"Aug 13, 1995 (21)",NA,NA,France,Paris Saint-Germain,Ligue 1,2017/2018,2017
NA,Centre-Back,"Feb 23, 1991 (26)",NA,NA,French Guiana,Paris Saint-Germain,Ligue 1,2017/2018,2017
20,Left-Back,"Sep 4, 1992 (24)",NA,NA,France,Paris Saint-Germain,Ligue 1,2017/2018,2017
17,Left-Back,"Feb 10, 1990 (27)",NA,NA,Spain,Paris Saint-Germain,Ligue 1,2017/2018,2017
NA,Left-Back,"Apr 9, 1999 (18)",NA,NA,France,Paris Saint-Germain,Ligue 1,2017/2018,2017
12,Right-Back,"Sep 12, 1991 (25)",NA,NA,Belgium,Paris Saint-Germain,Ligue 1,2017/2018,2017
32,Right-Back,"May 6, 1983 (34)",NA,NA,Brazil,Paris Saint-Germain,Ligue 1,2017/2018,2017
NA,Right-Back,"Sep 17, 1998 (18)",NA,NA,France,Paris Saint-Germain,Ligue 1,2017/2018,2017
19,Defensive Midfield,"Mar 10, 1985 (32)",NA,NA,France,Paris Saint-Germain,Ligue 1,2017/2018,2017
8,Defensive Midfield,"Aug 28, 1982 (34)",NA,NA,Italy,Paris Saint-Germain,Ligue 1,2017/2018,2017
NA,Defensive Midfield,"Feb 27, 1998 (19)",NA,NA,France,Paris Saint-Germain,Ligue 1,2017/2018,2017
6,Central Midfield,"Nov 5, 1992 (24)",NA,NA,Italy,Paris Saint-Germain,Ligue 1,2017/2018,2017
