player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Wojciech Szczesny,Goalkeeper,1990-04-18,27,Poland,Juventus FC,Serie A,2017/2018,2017
Gianluigi Buffon,Goalkeeper,1978-01-28,39,Italy,Juventus FC,Serie A,2017/2018,2017
Carlo Pinsoglio,Goalkeeper,1990-03-16,27,Italy,Juventus FC,Serie A,2017/2018,2017
Mattia Del Favero,Goalkeeper,1998-06-05,19,Italy,Juventus FC,Serie A,2017/2018,2017
Leonardo Loria,Goalkeeper,1999-03-28,18,Italy,Juventus FC,Serie A,2017/2018,2017
Benedikt Höwedes,Centre-Back,1988-02-29,29,Germany,Juventus FC,Serie A,2017/2018,2017
Daniele Rugani,Centre-Back,1994-07-29,22,Italy,Juventus FC,Serie A,2017/2018,2017
Medhi Benatia,Centre-Back,1987-04-17,30,Morocco,Juventus FC,Serie A,2017/2018,2017
Giorgio Chiellini,Centre-Back,1984-08-14,32,Italy,Juventus FC,Serie A,2017/2018,2017
Andrea Barzagli,Centre-Back,1981-05-08,36,Italy,Juventus FC,Serie A,2017/2018,2017
Alex Sandro,Left-Back,1991-01-26,26,Brazil,Juventus FC,Serie A,2017/2018,2017
Kwadwo Asamoah,Left-Back,1988-12-09,28,Ghana,Juventus FC,Serie A,2017/2018,2017
Mattia De Sciglio,Right-Back,1992-10-20,24,Italy,Juventus FC,Serie A,2017/2018,2017
Stephan Lichtsteiner,Right-Back,1984-01-16,33,Switzerland,Juventus FC,Serie A,2017/2018,2017
Miralem Pjanic,Defensive Midfield,1990-04-02,27,Bosnia-Herzegovina,Juventus FC,Serie A,2017/2018,2017
Blaise Matuidi,Central Midfield,1987-04-09,30,France,Juventus FC,Serie A,2017/2018,2017
Sami Khedira,Central Midfield,1987-04-04,30,Germany,Juventus FC,Serie A,2017/2018,2017
Claudio Marchisio,Central Midfield,1986-01-19,31,Italy,Juventus FC,Serie A,2017/2018,2017
Stefano Sturaro,Central Midfield,1993-03-09,24,Italy,Juventus FC,Serie A,2017/2018,2017
Rodrigo Bentancur,Central Midfield,1997-06-25,20,Uruguay,Juventus FC,Serie A,2017/2018,2017
Simone Muratore,Central Midfield,1998-05-30,19,Italy,Juventus FC,Serie A,2017/2018,2017
Fabrizio Caligara,Central Midfield,2000-04-12,17,Italy,Juventus FC,Serie A,2017/2018,2017
Leonardo Merio,Central Midfield,1999-05-28,18,Italy,Juventus FC,Serie A,2017/2018,2017
Grigoris Kastanos,Attacking Midfield,1998-01-30,19,Cyprus,Juventus FC,Serie A,2017/2018,2017
Ferdinando Del Sole,Attacking Midfield,1998-01-17,19,Italy,Juventus FC,Serie A,2017/2018,2017
Marko Pjaca,Left Winger,1995-05-06,22,Croatia,Juventus FC,Serie A,2017/2018,2017
Douglas Costa,Right Winger,1990-09-14,26,Brazil,Juventus FC,Serie A,2017/2018,2017
Federico Bernardeschi,Right Winger,1994-02-16,23,Italy,Juventus FC,Serie A,2017/2018,2017
Juan Cuadrado,Right Winger,1988-05-26,29,Colombia,Juventus FC,Serie A,2017/2018,2017
Paulo Dybala,Second Striker,1993-11-15,23,Argentina,Juventus FC,Serie A,2017/2018,2017
Gonzalo Higuaín,Centre-Forward,1987-12-10,29,Argentina,Juventus FC,Serie A,2017/2018,2017
Mario Mandzukic,Centre-Forward,1986-05-21,31,Croatia,Juventus FC,Serie A,2017/2018,2017
Moise Kean,Centre-Forward,2000-02-28,17,Italy,Juventus FC,Serie A,2017/2018,2017
Pepe Reina,Goalkeeper,1982-08-31,34,Spain,SSC Napoli,Serie A,2017/2018,2017
Rafael,Goalkeeper,1990-05-20,27,Brazil,SSC Napoli,Serie A,2017/2018,2017
Luigi Sepe,Goalkeeper,1991-05-08,26,Italy,SSC Napoli,Serie A,2017/2018,2017
Maurizio Schaeper,Goalkeeper,1999-04-28,18,Italy,SSC Napoli,Serie A,2017/2018,2017
Kalidou Koulibaly,Centre-Back,1991-06-20,26,Senegal,SSC Napoli,Serie A,2017/2018,2017
Nikola Maksimovic,Centre-Back,1991-11-25,25,Serbia,SSC Napoli,Serie A,2017/2018,2017
Raúl Albiol,Centre-Back,1985-09-04,31,Spain,SSC Napoli,Serie A,2017/2018,2017
Lorenzo Tonelli,Centre-Back,1990-01-17,27,Italy,SSC Napoli,Serie A,2017/2018,2017
Vlad Chiriches,Centre-Back,1989-11-14,27,Romania,SSC Napoli,Serie A,2017/2018,2017
Giuseppe Esposito,Centre-Back,1999-04-16,18,Italy,SSC Napoli,Serie A,2017/2018,2017
Alberto Senese,Centre-Back,2000-03-24,17,Italy,SSC Napoli,Serie A,2017/2018,2017
Faouzi Ghoulam,Left-Back,1991-02-01,26,Algeria,SSC Napoli,Serie A,2017/2018,2017
Mário Rui,Left-Back,1991-05-27,26,Portugal,SSC Napoli,Serie A,2017/2018,2017
Ivan Strinic,Left-Back,1987-07-17,29,Croatia,SSC Napoli,Serie A,2017/2018,2017
Hrvoje Milic,Left-Back,1989-05-10,28,Croatia,SSC Napoli,Serie A,2017/2018,2017
Luigi D'Ignazio,Left-Back,1998-03-13,19,Italy,SSC Napoli,Serie A,2017/2018,2017
Michael Scarf,Left-Back,1999-05-10,18,Ghana,SSC Napoli,Serie A,2017/2018,2017
Elseid Hysaj,Right-Back,1994-02-02,23,Albania,SSC Napoli,Serie A,2017/2018,2017
Christian Maggio,Right-Back,1982-02-11,35,Italy,SSC Napoli,Serie A,2017/2018,2017
Pio Schiavi,Right-Back,1998-08-27,18,Italy,SSC Napoli,Serie A,2017/2018,2017
