shirt_number,position,player_name,date_of_birth,age,nationality,club_name,league_name,season,year
99,Goalkeeper,Andrey Lunev,1991-11-13,27,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
41,Goalkeeper,Mikhail Kerzhakov,1987-01-28,32,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
30,Centre-Back,Emanuel Mammana,1996-02-10,23,Argentina,Zenit St. Petersburg,Premier Liga,2018/2019,2018
44,Centre-Back,Yaroslav Rakytskyi,1989-08-03,29,Ukraine,Zenit St. Petersburg,Premier Liga,2018/2019,2018
13,Centre-Back,Luís Neto,1988-05-26,31,Portugal,Zenit St. Petersburg,Premier Liga,2018/2019,2018
6,Centre-Back,Branislav Ivanovic,1984-02-22,35,Serbia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
80,Centre-Back,Ilya Skrobotov,2000-07-06,18,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
15,Left-Back,Elmir Nabiullin,1995-03-08,24,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
19,Right-Back,Igor Smolnikov,1988-08-08,30,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
3,Right-Back,Denis Terentjev,1992-08-13,26,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
2,Right-Back,Aleksandr Anyukov,1982-09-28,36,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
25,Defensive Midfield,Wilmar Barrios,1993-10-16,25,Colombia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
8,Defensive Midfield,Matías Kranevitter,1993-05-21,26,Argentina,Zenit St. Petersburg,Premier Liga,2018/2019,2018
33,Defensive Midfield,Hernani,1994-03-27,25,Brazil,Zenit St. Petersburg,Premier Liga,2018/2019,2018
38,Defensive Midfield,Leon Musaev,1999-01-25,20,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
14,Central Midfield,Daler Kuzyaev,1993-01-15,26,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
10,Central Midfield,Claudio Marchisio,1986-01-19,33,Italy,Zenit St. Petersburg,Premier Liga,2018/2019,2018
27,Central Midfield,Magomed Ozdoev,1992-11-05,26,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
16,Central Midfield,Christian Noboa,1985-04-09,34,Ecuador,Zenit St. Petersburg,Premier Liga,2018/2019,2018
17,Left Midfield,Oleg Shatov,1990-07-29,28,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
18,Left Midfield,Yuri Zhirkov,1983-08-20,35,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
21,Attacking Midfield,Aleksandr Erokhin,1989-10-13,29,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
11,Left Winger,Sebastián Driussi,1996-02-09,23,Argentina,Zenit St. Petersburg,Premier Liga,2018/2019,2018
24,Right Winger,Emiliano Rigoni,1993-02-04,26,Argentina,Zenit St. Petersburg,Premier Liga,2018/2019,2018
20,Right Winger,Robert Mak,1991-03-08,28,Slovakia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
7,Centre-Forward,Sardar Azmoun,1995-01-01,24,Iran,Zenit St. Petersburg,Premier Liga,2018/2019,2018
22,Centre-Forward,Artem Dzyuba,1988-08-22,30,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
9,Centre-Forward,Aleksandr Kokorin,1991-03-19,28,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
29,Centre-Forward,Anton Zabolotny,1991-06-13,27,Russia,Zenit St. Petersburg,Premier Liga,2018/2019,2018
35,Goalkeeper,Igor Akinfeev,1986-04-08,33,Russia,CSKA Moscow,Premier Liga,2018/2019,2018
1,Goalkeeper,Ilya Pomazun,1996-08-16,22,Russia,CSKA Moscow,Premier Liga,2018/2019,2018
22,Goalkeeper,Georgiy Kyrnats,1998-06-22,20,Russia,CSKA Moscow,Premier Liga,2018/2019,2018
50,Centre-Back,Rodrigo Becão,1996-01-19,23,Brazil,CSKA Moscow,Premier Liga,2018/2019,2018
23,Centre-Back,Hördur Magnússon,1993-02-11,26,Iceland,CSKA Moscow,Premier Liga,2018/2019,2018
3,Centre-Back,Nikita Chernov,1996-01-14,23,Russia,CSKA Moscow,Premier Liga,2018/2019,2018
5,Centre-Back,Viktor Vasin,1988-10-06,30,Russia,CSKA Moscow,Premier Liga,2018/2019,2018
78,Centre-Back,Igor Diveev,1999-09-27,19,Russia,CSKA Moscow,Premier Liga,2018/2019,2018
42,Left-Back,Georgi Schennikov,1991-04-27,28,Russia,CSKA Moscow,Premier Liga,2018/2019,2018
71,Left-Back,Nayair Tiknizyan,1999-05-12,20,Russia,CSKA Moscow,Premier Liga,2018/2019,2018
