player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Jon McLaughlin,Goalkeeper,1987-09-09,31,Scotland,Sunderland AFC,League One,2019/2020,2019
Lee Burge,Goalkeeper,1993-01-09,26,England,Sunderland AFC,League One,2019/2020,2019
Anthony Patterson,Goalkeeper,2000-05-10,19,England,Sunderland AFC,League One,2019/2020,2019
Joel Lynch,Centre-Back,1987-10-03,31,Wales,Sunderland AFC,League One,2019/2020,2019
Bailey Wright,Centre-Back,1992-07-28,26,Australia,Sunderland AFC,League One,2019/2020,2019
Tommy Smith,Centre-Back,1990-03-31,29,New Zealand,Sunderland AFC,League One,2019/2020,2019
Jack Baldwin,Centre-Back,1993-06-30,26,England,Sunderland AFC,League One,2019/2020,2019
Tom Flanagan,Centre-Back,1991-10-21,27,Northern Ireland,Sunderland AFC,League One,2019/2020,2019
Alim Öztürk,Centre-Back,1992-11-17,26,Turkey,Sunderland AFC,League One,2019/2020,2019
Jordan Willis,Centre-Back,1994-08-24,24,England,Sunderland AFC,League One,2019/2020,2019
Jack Bainbridge,Centre-Back,1998-05-21,21,England,Sunderland AFC,League One,2019/2020,2019
Brandon Taylor,Centre-Back,1999-05-10,20,England,Sunderland AFC,League One,2019/2020,2019
Laurens De Bock,Left-Back,1992-11-07,26,Belgium,Sunderland AFC,League One,2019/2020,2019
Denver Hume,Left-Back,1998-08-11,20,England,Sunderland AFC,League One,2019/2020,2019
Conor McLaughlin,Right-Back,1991-07-26,27,Northern Ireland,Sunderland AFC,League One,2019/2020,2019
Luke O'Nien,Right-Back,1994-11-21,24,England,Sunderland AFC,League One,2019/2020,2019
Bali Mumba,Right-Back,2001-10-08,17,England,Sunderland AFC,League One,2019/2020,2019
George Dobson,Defensive Midfield,1997-11-15,21,England,Sunderland AFC,League One,2019/2020,2019
Ruben Sammut,Defensive Midfield,1997-09-26,21,Scotland,Sunderland AFC,League One,2019/2020,2019
Grant Leadbitter,Central Midfield,1986-01-07,33,England,Sunderland AFC,League One,2019/2020,2019
Josh Scowen,Central Midfield,1993-03-28,26,England,Sunderland AFC,League One,2019/2020,2019
Max Power,Central Midfield,1993-07-27,25,England,Sunderland AFC,League One,2019/2020,2019
Ethan Robson,Central Midfield,1996-10-25,22,England,Sunderland AFC,League One,2019/2020,2019
