player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
George Long,Goalkeeper,1993-11-05,27,England,Hull City,League One,2020/2021,2020
Matt Ingram,Goalkeeper,1993-12-18,26,England,Hull City,League One,2020/2021,2020
Harvey Cartwright,Goalkeeper,2002-05-09,18,England,Hull City,League One,2020/2021,2020
Reece Burke,Centre-Back,1996-09-02,24,England,Hull City,League One,2020/2021,2020
Jordy de Wijs,Centre-Back,1995-01-08,25,Netherlands,Hull City,League One,2020/2021,2020
Alfie Jones,Centre-Back,1997-10-07,23,England,Hull City,League One,2020/2021,2020
Sean McLoughlin,Centre-Back,1996-11-13,23,Ireland,Hull City,League One,2020/2021,2020
Jacob Greaves,Centre-Back,2000-09-12,20,England,Hull City,League One,2020/2021,2020
Festus Arthur,Centre-Back,2000-02-27,20,Germany,Hull City,League One,2020/2021,2020
Callum Elder,Left-Back,1995-01-27,25,Australia,Hull City,League One,2020/2021,2020
Brandon Fleming,Left-Back,1999-12-03,20,England,Hull City,League One,2020/2021,2020
Lewie Coyle,Right-Back,1995-10-15,25,England,Hull City,League One,2020/2021,2020
Josh Emmanuel,Right-Back,1997-08-18,23,England,Hull City,League One,2020/2021,2020
Regan Slater,Defensive Midfield,1999-09-11,21,England,Hull City,League One,2020/2021,2020
Daniel Batty,Central Midfield,1997-12-10,22,England,Hull City,League One,2020/2021,2020
Greg Docherty,Central Midfield,1996-09-10,24,Scotland,Hull City,League One,2020/2021,2020
Richard Smallwood,Central Midfield,1990-12-29,29,England,Hull City,League One,2020/2021,2020
George Honeyman,Attacking Midfield,1994-09-08,26,England,Hull City,League One,2020/2021,2020
Max Sheaf,Attacking Midfield,2000-03-10,20,England,Hull City,League One,2020/2021,2020
Mallik Wilks,Left Winger,1998-12-15,21,England,Hull City,League One,2020/2021,2020
Martin Samuelsen,Left Winger,1997-04-17,23,Norway,Hull City,League One,2020/2021,2020
Keane Lewis-Potter,Left Winger,2001-02-22,19,England,Hull City,League One,2020/2021,2020
Hakeeb Adelakun,Right Winger,1996-06-11,24,England,Hull City,League One,2020/2021,2020
Thomas Mayer,Right Winger,1995-08-23,25,Austria,Hull City,League One,2020/2021,2020
James Scott,Centre-Forward,2000-08-30,20,Scotland,Hull City,League One,2020/2021,2020
Josh Magennis,Centre-Forward,1990-08-15,30,Northern Ireland,Hull City,League One,2020/2021,2020
Tom Eaves,Centre-Forward,1992-01-14,28,England,Hull City,League One,2020/2021,2020
Tomas Holy,Goalkeeper,1991-12-10,28,Czech Republic,Ipswich Town,League One,2020/2021,2020
David Cornell,Goalkeeper,1991-03-28,29,Wales,Ipswich Town,League One,2020/2021,2020
Luke Chambers,Centre-Back,1985-09-28,35,England,Ipswich Town,League One,2020/2021,2020
Toto Nsiala,Centre-Back,1992-03-25,28,DR Congo,Ipswich Town,League One,2020/2021,2020
James Wilson,Centre-Back,1989-02-26,31,Wales,Ipswich Town,League One,2020/2021,2020
Luke Woolfenden,Centre-Back,1998-10-21,22,England,Ipswich Town,League One,2020/2021,2020
Mark McGuinness,Centre-Back,2001-01-05,19,Ireland,Ipswich Town,League One,2020/2021,2020
Corrie Ndaba,Centre-Back,1999-12-25,20,Ireland,Ipswich Town,League One,2020/2021,2020
Stephen Ward,Left-Back,1985-08-20,35,Ireland,Ipswich Town,League One,2020/2021,2020
Myles Kenlock,Left-Back,1996-11-29,23,England,Ipswich Town,League One,2020/2021,2020
Janoi Donacien,Right-Back,1993-11-03,27,St. Lucia,Ipswich Town,League One,2020/2021,2020
Kane Vincent-Young,Right-Back,1996-03-15,24,England,Ipswich Town,League One,2020/2021,2020
Cole Skuse,Defensive Midfield,1986-03-29,34,England,Ipswich Town,League One,2020/2021,2020
Emyr Huws,Defensive Midfield,1993-09-30,27,Wales,Ipswich Town,League One,2020/2021,2020
Flynn Downes,Central Midfield,1999-01-20,21,England,Ipswich Town,League One,2020/2021,2020
Andre Dozzell,Central Midfield,1999-05-02,21,England,Ipswich Town,League One,2020/2021,2020
Teddy Bishop,Central Midfield,1996-07-15,24,England,Ipswich Town,League One,2020/2021,2020
Jon Nolan,Central Midfield,1992-04-22,28,England,Ipswich Town,League One,2020/2021,2020
Tristan Nydam,Central Midfield,1999-11-06,21,England,Ipswich Town,League One,2020/2021,2020
Alan Judge,Left Midfield,1988-11-11,31,Ireland,Ipswich Town,League One,2020/2021,2020
Keanan Bennetts,Left Winger,1999-03-09,21,England,Ipswich Town,League One,2020/2021,2020
Gwion Edwards,Right Winger,1993-03-01,27,Wales,Ipswich Town,League One,2020/2021,2020
Jack Lankester,Right Winger,2000-01-19,20,England,Ipswich Town,League One,2020/2021,2020
Armando Dobra,Right Winger,2001-04-14,19,Albania,Ipswich Town,League One,2020/2021,2020
Freddie Sears,Second Striker,1989-11-27,30,England,Ipswich Town,League One,2020/2021,2020
Kayden Jackson,Centre-Forward,1994-02-22,26,England,Ipswich Town,League One,2020/2021,2020
Aaron Drinan,Centre-Forward,1998-05-06,22,Ireland,Ipswich Town,League One,2020/2021,2020
Oliver Hawkins,Centre-Forward,1992-04-08,28,England,Ipswich Town,League One,2020/2021,2020
James Norwood,Centre-Forward,1990-09-05,30,England,Ipswich Town,League One,2020/2021,2020
Chris Maxwell,Goalkeeper,1990-07-30,30,Wales,Blackpool FC,League One,2020/2021,2020
Alex Fojticek,Goalkeeper,2000-03-03,20,Slovakia,Blackpool FC,League One,2020/2021,2020
Jack Sims,Goalkeeper,1999-03-10,21,England,Blackpool FC,League One,2020/2021,2020
Daníel Leó Grétarsson,Centre-Back,1995-10-02,25,Iceland,Blackpool FC,League One,2020/2021,2020
Jordan Thorniley,Centre-Back,1996-11-24,23,England,Blackpool FC,League One,2020/2021,2020
Marvin Ekpiteta,Centre-Back,1995-08-26,25,England,Blackpool FC,League One,2020/2021,2020
Daniel Ballard,Centre-Back,1999-09-22,21,Northern Ireland,Blackpool FC,League One,2020/2021,2020
James Husband,Left-Back,1994-01-03,26,England,Blackpool FC,League One,2020/2021,2020
Luke Garbutt,Left-Back,1993-05-21,27,England,Blackpool FC,League One,2020/2021,2020
Demetri Mitchell,Left-Back,1997-01-11,23,England,Blackpool FC,League One,2020/2021,2020
Teddy Howe,Right-Back,1998-10-09,22,England,Blackpool FC,League One,2020/2021,2020
Ollie Turton,Right-Back,1992-12-06,27,England,Blackpool FC,League One,2020/2021,2020
Jordan Lawrence-Gabriel,Right-Back,1998-09-25,22,England,Blackpool FC,League One,2020/2021,2020
Kenny Dougall,Defensive Midfield,1993-05-07,27,Australia,Blackpool FC,League One,2020/2021,2020
Jordan Williams,Defensive Midfield,1995-11-06,25,Wales,Blackpool FC,League One,2020/2021,2020
Matty Virtue,Defensive Midfield,1997-05-02,23,England,Blackpool FC,League One,2020/2021,2020
Cameron Antwi,Defensive Midfield,2001-10-07,19,England,Blackpool FC,League One,2020/2021,2020
Ethan Robson,Central Midfield,1996-10-25,24,England,Blackpool FC,League One,2020/2021,2020
Grant Ward,Right Midfield,1994-12-05,25,England,Blackpool FC,League One,2020/2021,2020
Ben Woodburn,Attacking Midfield,1999-10-15,21,Wales,Blackpool FC,League One,2020/2021,2020
Sullay Kaikai,Left Winger,1995-08-26,25,England,Blackpool FC,League One,2020/2021,2020
Keshi Anderson,Left Winger,1995-04-06,25,England,Blackpool FC,League One,2020/2021,2020
Bez Lubala,Left Winger,1998-01-08,22,DR Congo,Blackpool FC,League One,2020/2021,2020
CJ Hamilton,Left Winger,1995-03-23,25,England,Blackpool FC,League One,2020/2021,2020
Dan Kemp,Right Winger,1999-01-11,21,England,Blackpool FC,League One,2020/2021,2020
Gary Madine,Centre-Forward,1990-08-24,30,England,Blackpool FC,League One,2020/2021,2020
Oliver Sarkic,Centre-Forward,1997-07-23,23,Montenegro,Blackpool FC,League One,2020/2021,2020
Jerry Yates,Centre-Forward,1996-11-10,23,England,Blackpool FC,League One,2020/2021,2020
Remi Matthews,Goalkeeper,1994-02-10,26,England,Sunderland AFC,League One,2020/2021,2020
Lee Burge,Goalkeeper,1993-01-09,27,England,Sunderland AFC,League One,2020/2021,2020
Arbenit Xhemajli,Centre-Back,1998-04-23,22,Kosovo,Sunderland AFC,League One,2020/2021,2020
Bailey Wright,Centre-Back,1992-07-28,28,Australia,Sunderland AFC,League One,2020/2021,2020
Tom Flanagan,Centre-Back,1991-10-21,29,Northern Ireland,Sunderland AFC,League One,2020/2021,2020
Jordan Willis,Centre-Back,1994-08-24,26,England,Sunderland AFC,League One,2020/2021,2020
Dion Sanderson,Centre-Back,1999-12-15,20,England,Sunderland AFC,League One,2020/2021,2020
Morgan Feeney,Centre-Back,1999-02-08,21,England,Sunderland AFC,League One,2020/2021,2020
