player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Odysseas Vlachodimos,Goalkeeper,1994-04-26,26,Greece,SL Benfica,Liga NOS,2020/2021,2020
Mile Svilar,Goalkeeper,1999-08-27,21,Belgium,SL Benfica,Liga NOS,2020/2021,2020
Helton Leite,Goalkeeper,1990-11-02,30,Brazil,SL Benfica,Liga NOS,2020/2021,2020
Jean-Clair Todibo,Centre-Back,1999-12-30,20,France,SL Benfica,Liga NOS,2020/2021,2020
Nicolás Otamendi,Centre-Back,1988-02-12,32,Argentina,SL Benfica,Liga NOS,2020/2021,2020
Jan Vertonghen,Centre-Back,1987-04-24,33,Belgium,SL Benfica,Liga NOS,2020/2021,2020
Ferro,Centre-Back,1997-03-26,23,Portugal,SL Benfica,Liga NOS,2020/2021,2020
Morato,Centre-Back,2001-06-30,19,Brazil,SL Benfica,Liga NOS,2020/2021,2020
Jardel,Centre-Back,1986-03-29,34,Brazil,SL Benfica,Liga NOS,2020/2021,2020
Alejandro Grimaldo,Left-Back,1995-09-20,25,Spain,SL Benfica,Liga NOS,2020/2021,2020
Nuno Tavares,Left-Back,2000-01-26,20,Portugal,SL Benfica,Liga NOS,2020/2021,2020
André Almeida,Right-Back,1990-09-10,30,Portugal,SL Benfica,Liga NOS,2020/2021,2020
Gilberto,Right-Back,1993-03-07,27,Brazil,SL Benfica,Liga NOS,2020/2021,2020
Julian Weigl,Defensive Midfield,1995-09-08,25,Germany,SL Benfica,Liga NOS,2020/2021,2020
Gabriel,Defensive Midfield,1993-09-18,27,Brazil,SL Benfica,Liga NOS,2020/2021,2020
Andreas Samaris,Defensive Midfield,1989-06-13,31,Greece,SL Benfica,Liga NOS,2020/2021,2020
Pedrinho,Right Midfield,1998-04-13,22,Brazil,SL Benfica,Liga NOS,2020/2021,2020
Diogo Gonçalves,Right Midfield,1997-02-06,23,Portugal,SL Benfica,Liga NOS,2020/2021,2020
Éverton,Left Midfield,1996-03-22,24,Brazil,SL Benfica,Liga NOS,2020/2021,2020
Rafa Silva,Left Midfield,1993-05-17,27,Portugal,SL Benfica,Liga NOS,2020/2021,2020
Franco Cervi,Left Midfield,1994-05-26,26,Argentina,SL Benfica,Liga NOS,2020/2021,2020
Pizzi,Attacking Midfield,1989-10-06,31,Portugal,SL Benfica,Liga NOS,2020/2021,2020
Chiquinho,Attacking Midfield,1995-07-19,25,Portugal,SL Benfica,Liga NOS,2020/2021,2020
Adel Taarabt,Attacking Midfield,1989-05-24,31,Morocco,SL Benfica,Liga NOS,2020/2021,2020
Luca Waldschmidt,Second Striker,1996-05-19,24,Germany,SL Benfica,Liga NOS,2020/2021,2020
Gonçalo Ramos,Second Striker,2001-06-20,19,Portugal,SL Benfica,Liga NOS,2020/2021,2020
Darwin Núñez,Centre-Forward,1999-06-24,21,Uruguay,SL Benfica,Liga NOS,2020/2021,2020
